Year,Gender,Race/Ethnicity,LEP Status,LEP Numeric,Economically Disadvantaged Status,ED Numeric,Language Code,English Language Proficiency Level,ELPL Numeric,Primary Disability Type,ELA Scale Score,ELA Achievement Level,ELA AL ,Math Scale Score,Math Achievement Level,Math AL ,Concepts and Procedures Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Communicating Reasoning Claim Achievement Category,Fall RIT,Fall %ile,Typical RIT Growth Points,Tiered RIT Growth Points,Winter GOAL Score,Spring GOAL Score,Winter RIT,Winter %ile,BOY to Winter Growth,Met Winter goal?,Met Winter Goal Numeric,Spring RIT,Spring %ile,BOY to Spring RIT Growth,Winter to Spring RIT Growth ,Met Spring Goal?,Met Spring Goal Numeric 
2017,F,Hispanic or Latino,N,0,N,0,SPA,NA,6,NA,2578,Standard Met,3,2649,Standard Exceeded,4,Above Standard,Above Standard,Above Standard,214,71,5,8,218,222,233,95,19,Yes,1,224,80,10,-9,Yes,1
2017,M,Hispanic or Latino,N,0,Y,1,SPA,NA,6,NA,2569,Standard Met,3,2621,Standard Exceeded,4,Above Standard,Above Standard,Above Standard,220,83,4,5,223,225,229,91,9,Yes,1,232,92,12,3,Yes,1
2017,M,Hispanic or Latino,Y,1,Y,1,SPA,ADVANCED,5,NA,2495,Standard Nearly Met,2,2643,Standard Exceeded,4,Above Standard,Above Standard,Above Standard,192,18,8,12,198,204,197,21,5,No,0,210,46,18,13,Yes,1
2017,F,Hispanic or Latino,N,0,N,0,SPA,NA,6,NA,2600,Standard Exceeded,4,2573,Standard Met,3,Above Standard,Near Standard,Near Standard,225,90,3,4,227,229,232,94,7,Yes,1,230,90,5,-2,Yes,1
2017,F,Hispanic or Latino,N,0,N,0,SPA,ADVANCED,5,NA,2531,Standard Met,3,2563,Standard Met,3,Near Standard,Near Standard,Near Standard,207,53,6,9,212,216,223,83,16,Yes,1,220,72,13,-3,Yes,1
2017,F,Hispanic or Latino,Y,1,N,0,SPA,INTERMEDIATE,3,NA,2526,Standard Met,3,2553,Standard Met,3,Above Standard,Near Standard,Near Standard,201,38,7,11,206,212,208,47,7,Yes,1,216,62,15,8,Yes,1
2017,F,Hispanic or Latino,Y,1,Y,1,SPA,INTERMEDIATE,3,NA,2550,Standard Met,3,2577,Standard Met,3,Above Standard,Near Standard,Above Standard,200,35,7,11,205,211,212,58,12,Yes,1,217,64,17,5,Yes,1
2017,F,Hispanic or Latino,N,0,Y,1,SPA,NA,6,NA,2502,Standard Met,3,2537,Standard Met,3,Near Standard,Near Standard,Near Standard,197,28,7,11,202,208,207,45,10,Yes,1,214,57,17,7,Yes,1
2017,M,Hispanic or Latino,N,0,Y,1,SPA,NA,6,NA,2503,Standard Met,3,2574,Standard Met,3,Above Standard,Near Standard,Near Standard,215,73,5,8,219,223,221,79,6,Yes,1,225,82,10,4,Yes,1
2017,F,Hispanic or Latino,N,0,Y,1,SPA,NA,6,NA,2492,Standard Nearly Met,2,2534,Standard Met,3,Near Standard,Near Standard,Near Standard,219,81,4,5,222,224,218,73,-1,No,0,224,80,5,6,Yes,1
2017,F,Hispanic or Latino,N,0,N,0,SPA,EARLY ADVANCED,4,NA,2482,Standard Nearly Met,2,2530,Standard Met,3,Near Standard,Near Standard,Near Standard,184,8,9,14,191,198,215,64,31,Yes,1,209,43,25,-6,Yes,1
2017,M,Hispanic or Latino,Y,1,N,0,SPA,INTERMEDIATE,3,NA,2490,Standard Nearly Met,2,2534,Standard Met,3,Above Standard,Near Standard,Near Standard,196,26,7,11,201,207,211,56,15,Yes,1,208,41,12,-3,Yes,1
2017,F,Hispanic or Latino,N,0,N,0,SPA,NA,6,NA,2530,Standard Met,3,2516,Standard Nearly Met,2,Near Standard,Near Standard,Near Standard,213,69,5,8,217,221,220,77,7,Yes,1,222,76,9,2,Yes,1
2017,F,Hispanic or Latino,Y,1,Y,1,SPA,ADVANCED,5,NA,2492,Standard Nearly Met,2,2514,Standard Nearly Met,2,Near Standard,Near Standard,Near Standard,203,43,6,9,208,212,209,50,6,Yes,1,213,54,10,4,Yes,1
2017,M,Hispanic or Latino,Y,1,Y,1,SPA,INTERMEDIATE,3,NA,2366,Standard Not Met,1,2524,Standard Nearly Met,2,Near Standard,Near Standard,Near Standard,181,5,10,15,189,196,188,8,7,No,0,201,24,20,13,Yes,1
2017,M,Hispanic or Latino,Y,1,N,0,SPA,EARLY INTERMEDIATE,2,NA,2440,Standard Not Met,1,2499,Standard Nearly Met,2,Near Standard,Below Standard,Near Standard,190,15,8,12,196,202,197,21,7,Yes,1,209,43,19,12,Yes,1
2017,M,Hispanic or Latino,Y,1,Y,1,SPA,INTERMEDIATE,3,NA,2412,Standard Not Met,1,2488,Standard Nearly Met,2,Near Standard,Below Standard,Near Standard,173,2,11,17,181,190,187,7,14,Yes,1,204,31,31,17,Yes,1
2017,M,Hispanic or Latino,Y,1,Y,1,SPA,EARLY INTERMEDIATE,2,SLD,2363,Standard Not Met,1,2390,Standard Not Met,1,Below Standard,Below Standard,Near Standard,161,1,13,20,171,181,172,1,11,Yes,1,191,8,30,19,Yes,1
2017,M,Hispanic or Latino,Y,1,Y,1,SPA,EARLY INTERMEDIATE,2,NA,2342,Standard Not Met,1,2372,Standard Not Met,1,Below Standard,Below Standard,Below Standard,170,1,11,17,178,187,180,2,10,Yes,1,191,8,21,11,Yes,1
2017,F,Asian,N,0,N,0,VIE,NA,6,NA,2603,Standard Exceeded,4,2606,Standard Exceeded,4,Above Standard,Near Standard,Above Standard,224,89,3,4,226,228,220,77,-4,No,0,229,88,5,9,Yes,1
2017,F,Asian,N,0,N,0,VIE,NA,6,NA,2701,Standard Exceeded,4,2700,Standard Exceeded,4,Above Standard,Above Standard,Above Standard,226,91,3,4,228,230,231,93,5,Yes,1,236,95,10,5,Yes,1
2017,F,Asian,N,0,Y,1,VIE,NA,6,NA,2663,Standard Exceeded,4,2656,Standard Exceeded,4,Above Standard,Above Standard,Near Standard,226,91,3,4,228,230,235,96,9,Yes,1,230,90,4,-5,Yes,1
